ID Pedido,Fecha Pedido,Fecha Envío,Modo Envío,Cliente,Segmento,Ciudad,Estado,Region,Categoria,Subcategoria,Producto,Ventas,Año,Mes
US-2018-118038,2018-12-09,2018-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2018,12
US-2018-118038,2018-12-09,2018-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2018,12
US-2015-147606,2015-11-26,2015-12-01,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2015,11
CA-2017-127208,2017-06-12,2017-06-15,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,2017,6
CA-2017-127208,2017-06-12,2017-06-15,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,2017,6
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,2015,10
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,2015,10
CA-2016-149734,2016-09-03,2016-09-08,Standard Class,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,2016,9
US-2018-119662,2018-11-13,2018-11-16,First Class,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,2018,11
CA-2018-140088,2018-05-28,2018-05-30,Second Class,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2018,5
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,2018,10
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2018,10
CA-2017-159695,2017-04-05,2017-04-10,Second Class,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,2017,4
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,2017,9
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584,2017,9
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,2017,9
CA-2016-149587,2016-01-31,2016-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2016,1
CA-2016-149587,2016-01-31,2016-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,2016,1
CA-2016-149587,2016-01-31,2016-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2016,1
US-2018-109484,2018-11-06,2018-11-12,Standard Class,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,2018,11
CA-2018-161018,2018-11-09,2018-11-11,Second Class,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,2018,11
CA-2018-157833,2018-06-17,2018-06-20,First Class,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,2018,6
CA-2017-149223,2017-09-06,2017-09-11,Standard Class,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,2017,9
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,2017,8
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,2017,8
CA-2017-158568,2017-08-29,2017-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,2017,8
CA-2017-129903,2017-12-01,2017-12-04,Second Class,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,2017,12
US-2016-156867,2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,2016,11
US-2016-156867,2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,2016,11
US-2016-156867,2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,2016,11
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,2018,11
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,2018,11
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304,2018,11
CA-2016-129476,2016-10-15,2016-10-20,Standard Class,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,LogitechÂ Gaming G510s - Keyboard,339.96,2016,10
CA-2018-146780,2018-12-25,2018-12-30,Standard Class,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2018,12
CA-2017-128867,2017-11-03,2017-11-10,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2017,11
CA-2017-128867,2017-11-03,2017-11-10,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,2017,11
CA-2015-115259,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,2015,8
CA-2015-115259,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2015,8
CA-2015-115259,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976,2015,8
CA-2015-115259,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,2015,8
CA-2016-110457,2016-03-02,2016-03-06,Standard Class,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,2016,3
US-2016-136476,2016-04-05,2016-04-10,Standard Class,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,2016,4
CA-2017-103730,2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,2017,6
CA-2017-103730,2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,2017,6
CA-2017-103730,2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,2017,6
CA-2017-103730,2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,2017,6
CA-2017-103730,2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,2017,6
US-2015-152030,2015-12-26,2015-12-28,Second Class,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,2015,12
US-2015-134614,2015-09-20,2015-09-25,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,2015,9
US-2018-107272,2018-11-05,2018-11-12,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2018,11
US-2018-107272,2018-11-05,2018-11-12,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,2018,11
US-2017-125969,2017-11-06,2017-11-10,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2017,11
US-2017-125969,2017-11-06,2017-11-10,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,2017,11
US-2018-164147,2018-02-02,2018-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,2018,2
US-2018-164147,2018-02-02,2018-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304,2018,2
US-2018-164147,2018-02-02,2018-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456,2018,2
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04,2017,10
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44,2017,10
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,2017,10
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2017,10
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176,2017,10
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,2017,10
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,2017,10
CA-2017-110366,2017-09-05,2017-09-07,Second Class,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2017,9
CA-2018-106180,2018-09-18,2018-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Art,Newell 343,8.82,2018,9
CA-2018-106180,2018-09-18,2018-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,2018,9
